pt,family,spp,spp_id,dist,counts,elev
1,Cisticolidae,Cisticola chubbi,3,3,2,2352
3,Cisticolidae,Apalis personata,1,3,2,2416
5,Cisticolidae,Cisticola chubbi,3,3,2,2479
5,Cisticolidae,Oreolais ruwenzori,4,4,1,2479
7,Cisticolidae,Apalis personata,1,5,1,2554
7,Cisticolidae,Apalis porphyrolaema,2,2,1,2554
7,Cisticolidae,Cisticola chubbi,3,2,2,2554
7,Cisticolidae,Oreolais ruwenzori,4,5,1,2554
8,Cisticolidae,Cisticola chubbi,3,3,2,2373
9,Cisticolidae,Apalis porphyrolaema,2,3,1,2583
9,Cisticolidae,Cisticola chubbi,3,3,2,2583
10,Cisticolidae,Cisticola chubbi,3,4,2,2612
12,Cisticolidae,Cisticola chubbi,3,3,4,2691
13,Cisticolidae,Apalis porphyrolaema,2,3,1,2730
13,Cisticolidae,Cisticola chubbi,3,3,2,2730
13,Cisticolidae,Oreolais ruwenzori,4,5,1,2730
14,Cisticolidae,Apalis porphyrolaema,2,3,1,2720
14,Cisticolidae,Oreolais ruwenzori,4,4,1,2720
15,Cisticolidae,Apalis porphyrolaema,2,4,1,2706
16,Cisticolidae,Apalis personata,1,5,1,2705
16,Cisticolidae,Apalis porphyrolaema,2,3,1,2705
16,Cisticolidae,Cisticola chubbi,3,4,2,2705
16,Cisticolidae,Oreolais ruwenzori,4,4,1,2705
17,Cisticolidae,Apalis porphyrolaema,2,3,1,2676
17,Cisticolidae,Cisticola chubbi,3,1,4,2676
17,Cisticolidae,Oreolais ruwenzori,4,4,1,2676
18,Cisticolidae,Apalis porphyrolaema,2,4,1,2606
18,Cisticolidae,Cisticola chubbi,3,1,2,2606
18,Cisticolidae,Cisticola chubbi,3,3,2,2606
18,Cisticolidae,Oreolais ruwenzori,4,5,1,2606
20,Cisticolidae,Apalis personata,1,1,2,2389
20,Cisticolidae,Oreolais ruwenzori,4,1,2,2389
21,Cisticolidae,Cisticola chubbi,3,3,2,2365
22,Cisticolidae,Cisticola chubbi,3,1,4,2464
23,Cisticolidae,Apalis porphyrolaema,2,2,1,2494
23,Cisticolidae,Cisticola chubbi,3,3,2,2494
24,Cisticolidae,Cisticola chubbi,3,3,2,2532
25,Cisticolidae,Apalis porphyrolaema,2,4,1,2592
25,Cisticolidae,Cisticola chubbi,3,3,4,2592
26,Cisticolidae,Cisticola chubbi,3,4,2,2619
27,Cisticolidae,Apalis porphyrolaema,2,1,1,2689
27,Cisticolidae,Cisticola chubbi,3,1,2,2689
27,Cisticolidae,Oreolais ruwenzori,4,5,1,2689
28,Cisticolidae,Cisticola chubbi,3,3,2,2392
29,Cisticolidae,Apalis porphyrolaema,2,4,1,2694
31,Cisticolidae,Cisticola chubbi,3,4,2,2772
32,Cisticolidae,Apalis porphyrolaema,2,4,1,2812
32,Cisticolidae,Cisticola chubbi,3,3,2,2812
33,Cisticolidae,Cisticola chubbi,3,3,2,2832
35,Cisticolidae,Cisticola chubbi,3,4,4,2876
36,Cisticolidae,Cisticola chubbi,3,2,2,2406
37,Cisticolidae,Cisticola chubbi,3,3,2,2429
38,Cisticolidae,Cisticola chubbi,3,2,2,2726
38,Cisticolidae,Oreolais ruwenzori,4,3,1,2726
40,Cisticolidae,Cisticola chubbi,3,3,2,2900
41,Cisticolidae,Oreolais ruwenzori,4,3,1,2944
42,Cisticolidae,Oreolais ruwenzori,4,3,1,2988
44,Cisticolidae,Apalis porphyrolaema,2,2,1,3025
44,Cisticolidae,Cisticola chubbi,3,3,2,3025
45,Cisticolidae,Apalis personata,1,2,2,2742
45,Cisticolidae,Apalis porphyrolaema,2,3,1,2742
45,Cisticolidae,Cisticola chubbi,3,2,1,2742
51,Cisticolidae,Cisticola chubbi,3,3,2,2778
52,Cisticolidae,Apalis porphyrolaema,2,2,1,2903
53,Cisticolidae,Cisticola chubbi,3,3,2,2294
54,Cisticolidae,Cisticola chubbi,3,3,2,2413
55,Cisticolidae,Oreolais ruwenzori,4,2,1,2446
55,Cisticolidae,Prinia bairdii,5,3,2,2446
56,Cisticolidae,Apalis personata,1,2,2,2482
56,Cisticolidae,Oreolais ruwenzori,4,3,1,2482
57,Cisticolidae,Apalis personata,1,2,1,2528
57,Cisticolidae,Cisticola chubbi,3,3,2,2528
57,Cisticolidae,Oreolais ruwenzori,4,1,1,2528
57,Cisticolidae,Prinia bairdii,5,2,2,2528
58,Cisticolidae,Apalis personata,1,3,2,2597
59,Cisticolidae,Apalis personata,1,3,2,2605
59,Cisticolidae,Cisticola chubbi,3,2,1,2605
60,Cisticolidae,Cisticola chubbi,3,3,2,2326
61,Cisticolidae,Cisticola chubbi,3,4,2,2651
62,Cisticolidae,Apalis personata,1,2,2,2667
62,Cisticolidae,Cisticola chubbi,3,3,2,2667
63,Cisticolidae,Oreolais ruwenzori,4,2,1,2723
64,Cisticolidae,Cisticola chubbi,3,2,2,2736
