pt,family,spp,spp_id,dist,counts,elev
1,Cuculidae,Chrysococcyx klaas,11,4,1,2352
1,Nectariniidae,Cinnyris venustus,33,3,1,2352
1,Cisticolidae,Cisticola chubbi,50,3,2,2352
1,Estrildidae,Estrilda astrild,13,2,1,2352
1,Estrildidae,Estrilda kandti,14,2,3,2352
1,Ploceidae,Ploceus baglafecht,40,3,2,2352
1,Fringillidae,Crithagra gularis,16,3,1,2352
1,Columbidae,Streptopelia semitorquata,9,1,2,2352
2,Pycnonotidae,Eurillas latirostris,42,3,2,2396
2,Trogonidae,Apaloderma narina,59,2,1,2396
2,Platysteiridae,Batis diops,24,3,1,2396
2,Muscicapidae,Cossypha archeri,60,3,2,2396
2,Sylviidae,Pseudoalcippe abyssinica,58,4,1,2396
3,Pycnonotidae,Eurillas latirostris,42,3,1,2416
3,Cisticolidae,Apalis personata,45,3,2,2416
3,Trogonidae,Apaloderma narina,59,5,1,2416
3,Locustellidae,Bradypterus cinnamomeus,47,1,1,2416
3,Nectariniidae,Cinnyris venustus,33,1,1,2416
3,Malaconotidae,Laniarius poensis,21,5,1,2416
3,Phylloscopidae,Phylloscopus laetus,52,1,1,2416
3,Ploceidae,Ploceus alienus,39,2,1,2416
3,Sylviidae,Pseudoalcippe abyssinica,58,1,1,2416
3,Musophagidae,Ruwenzorornis johnstoni,29,4,1,2416
3,Zosteropidae,Zosterops senegalensis,63,1,2,2416
4,Pycnonotidae,Eurillas latirostris,42,4,2,2440
4,Trogonidae,Apaloderma narina,59,4,1,2440
4,Nectariniidae,Cinnyris regius,31,2,1,2440
4,Nectariniidae,Cinnyris stuhlmanni,32,1,2,2440
4,Muscicapidae,Cossypha archeri,60,3,2,2440
4,Malaconotidae,Dryoscopus gambensis,18,3,1,2440
4,Phylloscopidae,Phylloscopus laetus,52,3,2,2440
4,Lybiidae,Pogoniulus bilineatus,3,5,1,2440
4,Columbidae,Streptopelia semitorquata,9,6,1,2440
5,Pycnonotidae,Eurillas latirostris,42,1,1,2479
5,Pycnonotidae,Andropadus nigriceps,43,3,1,2479
5,Locustellidae,Bradypterus cinnamomeus,47,2,1,2479
5,Acrocephalidae,Iduna similis,49,3,1,2479
5,Cisticolidae,Cisticola chubbi,50,3,2,2479
5,Muscicapidae,Cossypha archeri,60,2,2,2479
5,Modulatricidae,Kakamega poliothorax,57,2,1,2479
5,Cisticolidae,Oreolais ruwenzori,51,4,1,2479
5,Muscicapidae,Pogonocichla stellata,61,1,2,2479
6,Pycnonotidae,Eurillas latirostris,42,4,1,2532
6,Locustellidae,Bradypterus cinnamomeus,47,3,1,2532
6,Acrocephalidae,Iduna similis,49,2,1,2532
6,Muscicapidae,Cossypha archeri,60,3,2,2532
6,Malaconotidae,Laniarius poensis,21,3,1,2532
6,Zosteropidae,Zosterops senegalensis,63,2,1,2532
7,Cisticolidae,Apalis personata,45,5,1,2554
7,Cisticolidae,Apalis porphyrolaema,46,2,1,2554
7,Locustellidae,Bradypterus cinnamomeus,47,2,1,2554
7,Acrocephalidae,Iduna similis,49,3,1,2554
7,Cisticolidae,Cisticola chubbi,50,2,2,2554
7,Cisticolidae,Oreolais ruwenzori,51,5,1,2554
7,Phylloscopidae,Phylloscopus laetus,52,3,1,2554
7,Musophagidae,Ruwenzorornis johnstoni,29,4,1,2554
8,Cuculidae,Chrysococcyx klaas,11,5,1,2373
8,Cisticolidae,Cisticola chubbi,50,3,2,2373
8,Lybiidae,Pogoniulus bilineatus,3,5,1,2373
8,Pycnonotidae,Pycnonotus barbatus,44,2,2,2373
8,Fringillidae,Crithagra gularis,16,1,2,2373
8,Columbidae,Streptopelia semitorquata,9,4,2,2373
9,Cisticolidae,Apalis porphyrolaema,46,3,1,2583
9,Locustellidae,Bradypterus cinnamomeus,47,1,2,2583
9,Cisticolidae,Cisticola chubbi,50,3,2,2583
9,Malaconotidae,Laniarius poensis,21,4,1,2583
9,Lybiidae,Pogoniulus coryphaeus,4,3,1,2583
9,Psittacidae,Poicephalus meyeri,41,4,6,2583
9,Musophagidae,Ruwenzorornis johnstoni,29,5,1,2583
9,Zosteropidae,Zosterops senegalensis,63,1,3,2583
10,Cisticolidae,Cisticola chubbi,50,4,2,2612
10,Malaconotidae,Laniarius poensis,21,5,1,2612
10,Musophagidae,Ruwenzorornis johnstoni,29,6,1,2612
11,Locustellidae,Bradypterus cinnamomeus,47,3,1,2640
11,Acrocephalidae,Iduna similis,49,4,1,2640
11,Malaconotidae,Laniarius poensis,21,2,1,2640
11,Malaconotidae,Laniarius poensis,21,4,1,2640
11,Phylloscopidae,Phylloscopus laetus,52,4,1,2640
11,Musophagidae,Ruwenzorornis johnstoni,29,5,1,2640
11,Zosteropidae,Zosterops senegalensis,63,3,2,2640
12,Locustellidae,Bradypterus cinnamomeus,47,2,1,2691
12,Cisticolidae,Cisticola chubbi,50,3,4,2691
12,Muscicapidae,Cossypha archeri,60,2,2,2691
12,Malaconotidae,Laniarius poensis,21,4,1,2691
