pt,elev,nha8
1,2352,4
2,2396,6
3,2416,6
4,2440,2
5,2479,2
6,2532,2
7,2554,2
8,2373,4
9,2583,2
10,2612,2
11,2640,2
12,2691,2
13,2730,2
14,2720,2
15,2706,2
16,2705,2
17,2676,5
18,2606,2
19,2381,4
20,2389,6
21,2365,8
22,2464,3
23,2494,8
24,2532,5
25,2592,5
26,2619,5
27,2689,5
28,2392,8
29,2694,5
30,2736,5
31,2772,2
32,2812,2
33,2832,2
34,2871,2
35,2876,2
36,2406,8
37,2429,3
38,2726,1
39,2986,6
40,2900,2
41,2944,2
42,3153,1
43,3006,6
44,3025,6
45,2742,8
46,3041,6
47,3053,6
48,3061,7
49,3081,6
50,3121,6
51,2778,6
52,2903,6
53,2294,8
54,2413,6
55,2446,8
56,2482,6
57,2528,6
58,2597,6
59,2605,6
60,2326,8
61,2651,8
62,2667,2
63,2723,2
64,2736,2
65,2762,2
66,2775,2
67,2818,2
68,2362,6
69,2381,6
70,2836,6
71,3038,6
72,3050,6
73,3076,6
74,3140,5
75,3165,5
76,3198,5
77,2834,6
78,3225,5
79,3242,5
80,3254,5
81,3254,5
82,3201,5
83,3227,5
84,3222,5
85,2834,6
86,2973,6
87,3230,2
88,2827,8
89,2914,6
90,3026,6
91,3140,6
92,3264,8
93,3396,1
94,2890,2
95,3506,1
96,2787,2
97,2838,2
98,2595,2
99,2550,6
100,2495,6
101,2464,6
102,2417,6
103,2397,6
104,2726,2
105,2387,6
106,2371,6
107,2359,6
108,2309,6
109,2280,6
110,2274,6
111,2246,6
112,2690,2
113,2657,2
114,2237,3
115,2329,8
116,2354,6
117,2391,8
118,2432,8
119,2478,8
120,2513,8
121,2267,6
122,2585,8
123,2678,8
124,2778,1
125,2866,1
126,2284,6
127,2287,8
128,2107,3
129,2211,8
130,2200,8
131,2180,8
132,2161,8
133,2134,8
134,2092,8
135,2095,8
136,2100,6
137,2100,6
138,2021,6
139,2016,6
140,1993,6
141,1998,3
142,2173,8
143,2199,8
144,2237,3
145,2412,6
146,2460,6
147,2524,6
148,2572,6
149,2637,2
150,2708,8
151,2294,6
152,2780,8
153,2849,8
154,2935,8
155,3040,8
156,2332,6
157,2377,6
158,2232,3
159,2439,6
160,2469,6
161,2507,6
162,2550,6
163,2603,6
164,2638,6
165,2306,6
166,2720,6
167,2758,6
168,2860,8
169,2339,6
170,2414,6
171,2152,3
172,2228,8
173,2230,6
174,2262,6
175,2290,6
176,2350,6
177,2386,8
178,2167,6
179,2410,8
180,2417,6
181,2425,2
182,2459,2
183,2460,2
184,2479,2
185,2482,6
186,2188,6
187,2213,8
188,2138,3
189,2230,6
190,2271,6
191,2276,6
192,2301,6
193,2305,6
194,2303,6
195,2180,6
196,2310,2
197,2341,2
198,2329,2
199,2331,2
200,2346,2
201,2343,2
202,2374,2
203,2184,6
204,2206,6
205,2106,3
206,2226,6
207,2226,6
208,2250,6
209,2285,6
210,2304,6
211,2319,6
212,2332,6
213,2359,6
214,2352,8
215,2364,8
216,2369,8
217,2380,8
218,2385,8
219,2178,6
220,2200,6
221,2175,3
222,2229,6
223,2238,6
224,2235,6
225,2271,6
226,2297,6
227,2315,6
228,2182,6
229,2324,6
230,2343,6
231,2344,8
232,2356,8
233,2379,8
234,2395,2
235,2396,2
236,2181,6
237,2209,6
238,2159,3
239,2221,6
240,2237,7
241,2250,7
242,2272,7
243,2289,7
244,2302,7
245,2188,8
246,2318,7
247,2331,7
248,2348,7
249,2366,4
250,2395,4
251,2397,4
252,2397,4
253,2189,6
254,2209,6
255,2243,3
256,2269,8
257,2271,8
258,2285,8
259,2293,8
260,2302,6
261,2297,6
262,2251,8
263,2294,6
264,2298,6
265,2309,6
266,2322,6
267,2316,6
268,2261,8
269,2264,8
270,2274,8
271,2300,6
272,2310,6
273,2317,6
274,2318,6
275,2310,6
276,2297,2
277,2275,8
278,2334,6
279,2344,6
280,2356,2
281,2359,2
282,2351,2
283,2354,2
284,2374,2
285,2287,6
286,2287,6
287,2135,3
288,2236,6
289,2250,6
290,2301,6
291,2309,6
292,2359,6
293,2410,6
294,2147,6
295,2445,6
296,2487,2
297,2521,2
298,2564,2
299,2552,2
300,2553,2
301,2609,2
302,2196,6
303,2948,2
304,3014,2
305,3086,5
306,3103,5
307,1829,2
308,3130,5
309,3230,5
310,3271,5
311,3322,5
312,2819,2
313,3382,5
314,3658,1
315,3690,1
316,3742,1
317,3751,1
318,3753,1
319,3803,1
320,3444,5
321,3834,1
322,3517,1
323,3582,1
324,2749,2
325,2960,2
326,3004,2
327,3047,2
328,3085,5
329,3137,5
330,3157,5
331,2824,2
332,3229,5
333,3243,5
334,2870,2
335,2917,2
336,2775,2
337,2971,2
