Species, This.study,Derhe.et.al.2020,Total.no.spp-5yrs
Crithagra frontalis,7,0.7,7
Sylvia abyssinica,18,23.8,238
Dessonornis archeri,151,70.1,701
Ploceus baglafecht,4,5.4,54
Psalidoprocne pristoptera,22,13.9,139
Estrilda atricapilla,49,10.2,102
Centropus monachus,1,0.1,1
Phylloscopus umbrovirens,31,40.8,408
Apalis porphyrolaema,44,37.7,377
Batis molitor,2,1.3,13
Cisticola chubbi,163,95.2,952
Bradypterus cinnamomeus,227,211.6,2116
Oreolais ruwenzorii,41,30.2,302
Hedydipna collaris,3,0.5,5
Pycnonotus barbatus,23,26.6,266
Iduna natalensis,11,0.2,2
Telophorus dohertyi ,7,4.8,48
Chrysococcyx klaas,3,0.4,4
Apalis personata,14,9.8,98
Laniarius poensis,79,68,680
Buteo oreophilus,4,22.2,222
Illadopsis pyrrhoptera,4,1.5,15
Iduna similis,112,77.2,772
Apaloderma narina,1,0.1,1
Dryoscopus gambensis,11,9.6,96
Columba arquatrix,56,22.5,225
Andropadus nigriceps,19,50.6,506
Cuculus solitarius,2,0.8,8
Streptopelia semitorquata,26,5.1,51
Phylloscopus laetus,69,63.5,635
Cinnyris regius,18,38.1,381
Cinnyris stuhlmanni,195,255.8,2558
Batis diops,33,19.1,191
Ruwenzorornis johnstoni,26,52.8,528
Nectarinia johnstoni,57,43,430
Colius striatus,6,8.7,87
Ploceus alienus,6,1.8,18
Melaniparus fasciiventer,20,15.6,156
Laniarius aethiopicus,1,0.1,1
Cinnyris venustus,2,4.8,48
Melaenornis fischeri,2,7.6,76
Pogonocichla stellata,11,18,180
Zosterops senegalensis,121,129.4,1294
Eurillas latirostris,20,15.7,157
