"","x"
"1",63.3333333333333
"2",60
"3",63.3333333333333
"4",60
"5",53.3333333333333
"6",63.3333333333333
"7",58.3333333333333
"8",51.6666666666667
"9",60
"10",51.6666666666667
"11",56.6666666666667
"12",43.3333333333333
"13",68.3333333333333
"14",56.6666666666667
"15",55
"16",51.6666666666667
"17",53.3333333333333
"18",58.3333333333333
"19",58.3333333333333
"20",58.3333333333333
"21",56.6666666666667
"22",56.6666666666667
"23",46.6666666666667
"24",55
"25",56.6666666666667
"26",56.6666666666667
"27",61.6666666666667
"28",48.3333333333333
"29",46.6666666666667
"30",66.6666666666667
"31",61.6666666666667
"32",58.3333333333333
"33",71.6666666666667
"34",55
"35",53.3333333333333
"36",46.6666666666667
"37",58.3333333333333
"38",48.3333333333333
"39",50
"40",56.6666666666667
"41",60
"42",63.3333333333333
"43",53.3333333333333
"44",60
"45",65
"46",50
"47",56.6666666666667
"48",53.3333333333333
"49",63.3333333333333
"50",60
"51",51.6666666666667
"52",53.3333333333333
"53",53.3333333333333
"54",53.3333333333333
"55",58.3333333333333
"56",65
"57",43.3333333333333
"58",45
"59",48.3333333333333
"60",63.3333333333333
"61",51.6666666666667
"62",55
"63",51.6666666666667
"64",48.3333333333333
"65",58.3333333333333
"66",48.3333333333333
"67",51.6666666666667
"68",48.3333333333333
"69",56.6666666666667
"70",48.3333333333333
"71",63.3333333333333
"72",53.3333333333333
"73",55
"74",51.6666666666667
"75",56.6666666666667
"76",43.3333333333333
"77",46.6666666666667
"78",65
"79",41.6666666666667
"80",65
"81",45
"82",53.3333333333333
"83",55
"84",51.6666666666667
"85",51.6666666666667
"86",58.3333333333333
"87",48.3333333333333
"88",60
"89",45
"90",46.6666666666667
"91",50
"92",56.6666666666667
"93",55
"94",53.3333333333333
"95",56.6666666666667
"96",63.3333333333333
"97",65
"98",45
"99",61.6666666666667
"100",41.6666666666667
"101",60
"102",55
"103",48.3333333333333
"104",70
"105",56.6666666666667
"106",58.3333333333333
"107",53.3333333333333
"108",61.6666666666667
"109",48.3333333333333
"110",48.3333333333333
"111",61.6666666666667
"112",56.6666666666667
"113",53.3333333333333
"114",55
"115",58.3333333333333
"116",53.3333333333333
"117",53.3333333333333
"118",55
"119",60
"120",46.6666666666667
"121",51.6666666666667
"122",56.6666666666667
"123",46.6666666666667
"124",65
"125",60
"126",56.6666666666667
"127",65
"128",55
"129",53.3333333333333
"130",48.3333333333333
"131",55
"132",53.3333333333333
"133",63.3333333333333
"134",66.6666666666667
"135",48.3333333333333
"136",60
"137",53.3333333333333
"138",50
"139",61.6666666666667
"140",41.6666666666667
"141",55
"142",45
"143",55
"144",51.6666666666667
"145",55
"146",61.6666666666667
"147",51.6666666666667
"148",63.3333333333333
"149",56.6666666666667
"150",63.3333333333333
"151",48.3333333333333
"152",50
"153",46.6666666666667
"154",45
"155",50
"156",50
"157",51.6666666666667
"158",61.6666666666667
"159",71.6666666666667
"160",65
"161",48.3333333333333
"162",66.6666666666667
"163",51.6666666666667
"164",50
"165",48.3333333333333
"166",56.6666666666667
"167",58.3333333333333
"168",56.6666666666667
"169",58.3333333333333
"170",58.3333333333333
"171",51.6666666666667
"172",55
"173",50
"174",60
"175",53.3333333333333
"176",71.6666666666667
"177",48.3333333333333
"178",53.3333333333333
"179",50
"180",53.3333333333333
"181",60
"182",56.6666666666667
"183",53.3333333333333
"184",63.3333333333333
"185",50
"186",56.6666666666667
"187",51.6666666666667
"188",58.3333333333333
"189",50
"190",60
"191",58.3333333333333
"192",55
"193",51.6666666666667
"194",56.6666666666667
"195",61.6666666666667
"196",58.3333333333333
"197",53.3333333333333
"198",50
"199",60
"200",53.3333333333333
"201",55
